a,psi,df,lon,lat,mode,v,y,x,t
0.769200512386332,1.62645636596718,0.001745329278002,78.1266053230978,17.6021612687042,,5.62353644682427,1957271.03105925,8584993.70829125,1717226334.14727
0.856114695470524,1.62650872752778,0.001745329278002,78.1266052029217,17.6021663467688,,5.70759408705408,1957271.59571428,8584993.63618313,1717226334.24754
0.850476277056673,1.62707274113257,0.001745329278002,78.1266050338889,17.6021714771748,,5.79694279033233,1957272.1661894,8584993.55809921,1717226334.34776
0.823271458071897,1.62795697305806,0.001745329278002,78.1266048674743,17.6021766646751,,5.87583660121185,1957272.74301311,8584993.47964071,1717226334.44804
0.83756656912252,1.62838057479358,0.001745329278002,78.1266047181298,17.6021819446907,,5.97207281556333,1957273.33012406,8584993.40198483,1717226334.54868
0.730027838027547,1.62899963291934,0.001745329278002,78.126604569709,17.6021872861105,,6.04197126344634,1957273.92406284,8584993.32371818,1717226334.64887
0.79546945818204,1.62966498350516,0.001745329278002,78.126604387581,17.602192689257,,6.11882789003409,1957274.52486532,8584993.24103158,1717226334.74904
0.675473906521644,1.63005463337815,0.001745329278002,78.1266041645357,17.6021982139875,,6.18900238694343,1957275.13918733,8584993.15243843,1717226334.84922
0.697127930469178,1.63049272372415,0.001745329278002,78.1266039572662,17.6022037673669,,6.25563355258649,1957275.75669494,8584993.06524648,1717226334.94942
0.614594666472632,1.6309161282069,0.001745329278002,78.1266037459919,17.6022093760105,,6.3183919085172,1957276.38034765,8584992.97697341,1717226335.04964
0.54641836513631,1.63116248964833,0.001745329278002,78.1266035507584,17.6022150621986,,6.37975541098034,1957277.01262292,8584992.88956351,1717226335.14985
0.585244150840332,1.63153282645274,0,78.1266033423636,17.6022207994719,,6.44191289557034,1957277.65057861,8584992.80011479,1717226335.25004
0.585307545719215,1.63178699330903,0,78.1266031415059,17.6022265794931,,6.49470490166375,1957278.29328764,8584992.71099841,1717226335.35024
0.441771557262334,1.63159036655119,-0.001745329278002,78.1266029560872,17.6022324074928,,6.54161484153142,1957278.94133163,8584992.62302202,1717226335.45044
0.496176509379293,1.63172817822881,-0.001745329278002,78.126602772133,17.6022383325666,,6.58933369985504,1957279.60016978,8584992.53408051,1717226335.55067
0.506696004744162,1.63181197291794,-0.001745329278002,78.1266025693767,17.6022442993786,,6.641619303208,1957280.26364901,8584992.44258877,1717226335.65087
0.519148401866216,1.63156281894282,-0.001745329278002,78.1266023793579,17.6022502909269,,6.69318538153838,1957280.92987878,8584992.35220975,1717226335.75117
0.43183303544654,1.63144798683652,-0.001745329278002,78.1266022056815,17.602256324587,,6.74244483776553,1957281.60079117,8584992.26313802,1717226335.85138
0.329691043440918,1.63108431696164,-0.003490658556004,78.1266020165908,17.6022623775154,,6.78757461332835,1957282.2738461,8584992.17214896,1717226335.95162
0.481356762766275,1.63034267686969,-0.003490658556004,78.1266018248242,17.6022684625644,,6.83678406344099,1957282.95047268,8584992.08049325,1717226336.05182
0.423104359536945,1.63004581459911,-0.003490658556004,78.1266016196768,17.6022746137803,,6.88145114673666,1957283.63445667,8584991.98659966,1717226336.15201
