a,psi,df,lon,lat,mode,v,y,x,t
0.413728305120063,3.01875922353688,-0.002199532768739,78.1270877389812,17.6020665514592,Real,0.34661452073717,1957260.49898215,8585047.81754656,1716530079.5128
0.398016491363158,3.01879685649894,-0.002199532768739,78.1270877334648,17.60206683973,,0.386874194478313,1957260.53103639,8585047.81359662,1716530079.61327
0.394711443400145,3.01882317029517,-0.001099766384369,78.1270877261859,17.6020671731464,,0.425041236917567,1957260.56811061,8585047.80892934,1716530079.71391
0.401077336242905,3.01886981157497,0.001099766384369,78.1270877512472,17.6020675455914,,0.466840509495503,1957260.6095246,8585047.80736307,1716530079.8143
0.381064483544065,3.01903579444043,0.002199532768739,78.1270877595753,17.6020679292041,,0.504491045975044,1957260.65218039,8585047.80382853,1716530079.91495
0.387064248344368,3.01913244623009,0.002199532768739,78.1270877560119,17.6020683580425,,0.543628147702628,1957260.69986505,8585047.79846269,1716530080.01535
0.37061798364691,3.01908116919094,0.002199532768739,78.1270877489932,17.6020688293748,,0.582957204985039,1957260.75227481,8585047.79222426,1716530080.11589
0.322019289717679,3.0190393770152,0.003299299153108,78.1270877602079,17.6020693301929,,0.616303894835462,1957260.80796323,8585047.78764741,1716530080.21642
0.091564435062768,3.01923504149405,0.003299299153108,78.1270877805889,17.6020698918923,,0.630700426543927,1957260.87042136,8585047.7833716,1716530080.31701
0.147440771516776,3.01937780519473,0.003299299153108,78.1270877979313,17.6020704507514,,0.639267763490831,1957260.93256366,8585047.77879484,1716530080.41759
0.517130476557,3.01802249841991,0.003299299153108,78.1270878580477,17.6020715972059,,0.695686863851505,1957261.06004358,8585047.77210259,1716530080.51838
0.4945782674673,3.01715096868653,0.003299299153108,78.127087893321,17.6020722402303,,0.746233498298767,1957261.13154463,8585047.76851992,1716530080.6191
0.2759921939065,3.01883342107804,0.003299299153108,78.1270878865915,17.6020729176466,,0.770948319394009,1957261.20686988,8585047.75992281,1716530080.71941
0.238571206370428,3.01906946398818,0.006598598306217,78.1270878609008,17.6020736662139,,0.80163153917515,1957261.29010677,8585047.74841683,1716530080.8199
0.224521753607513,3.0175640530361,0.008798131074956,78.1270878601724,17.6020743418689,,0.825342466090763,1957261.36523618,8585047.74049959,1716530080.92026
0.202629409331847,3.01787704017004,0.008798131074956,78.1270878811767,17.6020751071908,,0.842547463585158,1957261.45033609,8585047.73393037,1716530081.02052
0.232001656460105,3.01864520979427,0.008798131074956,78.1270878811767,17.6020751071908,,0.861627469455371,1957261.45033609,8585047.73393037,1716530081.12085
0.184326414910324,3.01773009548879,0.008798131074956,78.1270879172352,17.6020766832311,,0.888134044734967,1957261.62558378,8585047.71961154,1716530081.22119
0.207396738351264,3.01722530201332,0.008798131074956,78.1270878971745,17.602077475944,,0.904774812709671,1957261.71372944,8585047.70821214,1716530081.32149
